Time   9.567026325995764 	 ReceiveBlock: 6 0 8
Time   9.567026325995764 	 Money in circulation = 400.0 coins
Time   9.662826752504648 	 ReceiveBlock: 6 8 8
Time   9.662826752504648 	 Money in circulation = 400.0 coins
Time   9.74767423536313 	 ReceiveBlock: 6 8 7
Time   9.74767423536313 	 Money in circulation = 400.0 coins
Time   9.749852139403046 	 ReceiveBlock: 0 3 8
Time   9.749852139403046 	 Money in circulation = 400.0 coins
Time   9.803017731575583 	 GenerateTXN: 4
Time   9.803017731575583 	 Money in circulation = 357.0 coins
Time   9.81971200366387 	 ReceiveBlock: 2 5 7
Time   9.81971200366387 	 Money in circulation = 357.0 coins
Time   9.836297672270641 	 ReceiveBlock: 9 5 7
